year,sector,consumption_mtoe,consumption_ktoe
2005,Agriculture & Fisheries,0.38,380.0
2005,Industry,2.56,2560.0
2005,Residential,3.22,3220.0
2005,Services,1.34,1340.0
2005,Transport,5.08,5080.0
2006,Agriculture & Fisheries,0.36,360.0
2006,Industry,2.46,2460.0
2006,Residential,3.25,3250.0
2006,Services,1.42,1420.0
2006,Transport,5.44,5440.0
2007,Agriculture & Fisheries,0.34,340.0
2007,Industry,2.41,2410.0
2007,Residential,3.2,3200.0
2007,Services,1.44,1440.0
2007,Transport,5.72,5720.0
2008,Agriculture & Fisheries,0.36,360.0
2008,Industry,2.35,2350.0
2008,Residential,3.51,3510.0
2008,Services,1.51,1510.0
2008,Transport,5.45,5450.0
2009,Agriculture & Fisheries,0.31,310.0
2009,Industry,1.98,1980.0
2009,Residential,3.42,3420.0
2009,Services,1.38,1380.0
2009,Transport,4.86,4860.0
2010,Agriculture & Fisheries,0.29,290.0
2010,Industry,1.97,1970.0
2010,Residential,3.6,3600.0
2010,Services,1.41,1410.0
2010,Transport,4.6,4600.0
2011,Agriculture & Fisheries,0.28,280.0
2011,Industry,1.82,1820.0
2011,Residential,3.16,3160.0
2011,Services,1.39,1390.0
2011,Transport,4.43,4430.0
2012,Agriculture & Fisheries,0.27,270.0
2012,Industry,1.84,1840.0
2012,Residential,3.01,3010.0
2012,Services,1.41,1410.0
2012,Transport,4.18,4180.0
2013,Agriculture & Fisheries,0.25,250.0
2013,Industry,1.93,1930.0
2013,Residential,2.92,2920.0
2013,Services,1.45,1450.0
2013,Transport,4.35,4350.0
2014,Agriculture & Fisheries,0.23,230.0
2014,Industry,2.0,2000.0
2014,Residential,2.67,2670.0
2014,Services,1.44,1440.0
2014,Transport,4.52,4520.0
2015,Agriculture & Fisheries,0.22,220.0
2015,Industry,2.04,2040.0
2015,Residential,2.83,2830.0
2015,Services,1.52,1520.0
2015,Transport,4.79,4790.0
2016,Agriculture & Fisheries,0.23,230.0
2016,Industry,2.12,2120.0
2016,Residential,2.92,2920.0
2016,Services,1.55,1550.0
2016,Transport,4.97,4970.0
2017,Agriculture & Fisheries,0.24,240.0
2017,Industry,2.22,2220.0
2017,Residential,2.77,2770.0
2017,Services,1.54,1540.0
2017,Transport,5.11,5110.0
2018,Agriculture & Fisheries,0.25,250.0
2018,Industry,2.28,2280.0
2018,Residential,2.96,2960.0
2018,Services,1.7,1700.0
2018,Transport,5.23,5230.0
2019,Agriculture & Fisheries,0.25,250.0
2019,Industry,2.27,2270.0
2019,Residential,2.87,2870.0
2019,Services,1.74,1740.0
2019,Transport,5.28,5280.0
2020,Agriculture & Fisheries,0.26,260.0
2020,Industry,2.28,2280.0
2020,Residential,3.13,3130.0
2020,Services,1.64,1640.0
2020,Transport,3.91,3910.0
2021,Agriculture & Fisheries,0.26,260.0
2021,Industry,2.28,2280.0
2021,Residential,2.99,2990.0
2021,Services,1.76,1760.0
2021,Transport,4.19,4190.0
2022,Agriculture & Fisheries,0.32,320.0
2022,Industry,2.18,2180.0
2022,Residential,2.62,2620.0
2022,Services,1.84,1840.0
2022,Transport,5.04,5040.0
2023,Agriculture & Fisheries,0.28,280.0
2023,Industry,2.14,2140.0
2023,Residential,2.5,2500.0
2023,Services,1.92,1920.0
2023,Transport,5.24,5240.0
2024,Agriculture & Fisheries,0.28,280.0
2024,Industry,2.18,2180.0
2024,Residential,2.64,2640.0
2024,Services,2.03,2030.0
2024,Transport,5.22,5220.0
